c_first_name,c_last_name,c_preferred_cust_flag,c_salutation,cnt,ss_ticket_number
Linda,Aaron,Y,Miss,5,7152130
Rachel,Abrams,N,Mrs.,5,2103529
Howard,Allen,Y,Mr.,5,21005712
Travis,Ames,N,Mr.,5,7898224
Susan,Anderson,Y,Dr.,5,12827131
Exie,Anderson,Y,Miss,5,4482980
Jimmy,Austin,Y,Mr.,5,5076195
Bill,Barrett,Y,Mr.,5,18066022
Harold,Barrow,N,Dr.,5,14422101
Mike,Bates,N,Sir,5,10306687
Daniel,Bauer,Y,Mr.,5,15581987
Robert,Bell,N,Mr.,5,15570404
Quentin,Benoit,N,Mr.,5,19372131
Angel,Berry,N,Mrs.,5,15553660
David,Blackman,N,Mr.,5,12156011
Gerald,Blue,N,Sir,5,12906654
Ellen,Boothe,N,Dr.,5,5928600
Juan,Boyd,N,,5,2497335
Brian,Briggs,N,Mr.,5,13562385
Donald,Brooks,N,Sir,5,6239093
Amy,Brown,N,Dr.,5,7234298
Thomas,Buchanan,N,Mr.,5,7693600
Lakesha,Bunnell,N,Dr.,5,9334628
Edward,Burgos,N,Dr.,5,5628367
Gloria,Callahan,N,Mrs.,5,7725832
Maryanne,Cannon,Y,Mrs.,5,7879897
Monica,Carter,N,Miss,5,396010
Jeremy,Cervantes,Y,Sir,5,23949295
,Collins,,Dr.,5,16567648
Deborah,Cook,Y,Dr.,5,9926827
Chris,Cotter,Y,Mr.,5,17701993
Adam,Cox,N,Dr.,5,7827254
Craig,Crowley,N,Dr.,5,695832
Georgia,Daniels,N,Miss,5,9845903
Kenneth,Darling,N,Dr.,5,13211524
Bobby,Dix,N,Sir,5,21167532
Juanita,Dixon,N,Ms.,5,7460137
Eugene,Doe,N,Sir,5,15183971
James,Dorris,N,Dr.,5,18273200
Keith,Doyle,Y,Mr.,5,23156277
Madeline,Eastman,Y,Ms.,5,4747171
Marcia,Elliott,N,Dr.,5,22635722
Frank,Farmer,N,Mr.,5,9937357
Vernon,Fincher,N,Mr.,5,18460713
Julie,Gomez,N,Ms.,5,21224055
Judi,Gonzalez,N,Dr.,5,1482852
Teresa,Gordon,N,Dr.,5,12016575
Dale,Graham,Y,Dr.,5,16907052
Edward,Graham,Y,Mr.,5,11861002
Thomas,Gray,N,Dr.,5,12257704
Vicki,Green,N,Dr.,5,3104004
John,Greer,N,Dr.,5,780287
Andrew,Hall,N,Ms.,5,22978287
Herman,Hanna,N,Dr.,5,13045402
Rosa,Harris,N,Dr.,5,4175046
Pete,Heller,N,Sir,5,13903601
John,Helms,N,Mr.,5,827500
Richard,Henderson,Y,Dr.,5,11935573
Sandra,Henley,N,Ms.,5,4990263
John,Hill,N,Mr.,5,16002923
Youlanda,Hill,Y,Miss,5,11343250
Charles,Hill,N,Sir,5,17567749
Michael,Hoover,N,Dr.,5,309621
Virginia,Houle,N,Miss,5,16443744
Leilani,Huang,N,Miss,5,19314197
Justin,Hutton,N,Sir,5,22366116
Anna,Ingram,N,Dr.,5,10288132
Carl,Iverson,N,Mr.,5,6116051
Kay,Jones,Y,Ms.,5,23002208
John,Jordan,N,Mr.,5,10178816
Kyle,Kelley,N,Sir,5,23088378
Cynthia,Lawson,Y,Miss,5,23365666
Dennis,Leach,N,Sir,5,5216358
Christopher,Lewis,Y,Dr.,5,21477570
Scott,Linton,N,Sir,5,23367499
Dale,Love,N,Sir,5,2191784
Cleveland,Maggard,Y,Mr.,5,19300743
George,Martin,N,Dr.,5,13920672
James,Mcculloch,Y,Sir,5,9421536
Ed,Mcdonald,Y,Dr.,5,7642231
Thomas,Melendez,N,Sir,5,1372355
Brandie,Miller,Y,Ms.,5,20460739
Raymond,Mobley,N,Dr.,5,17507495
Jeffrey,Montes,N,Mr.,5,6803593
Leonardo,Nichols,N,Sir,5,15947557
Clara,Noble,N,Ms.,5,55834
William,Oconnor,N,Mr.,5,8019728
Katrina,Patrick,N,Ms.,5,19026595
Cassandra,Perez,N,Ms.,5,16925005
Thaddeus,Perez,Y,Mr.,5,3714713
Erik,Peters,Y,Mr.,5,5515095
Amalia,Poling,N,Mrs.,5,2524262
Efren,Quinn,N,Mr.,5,9193092
Thomas,Ramirez,Y,Sir,5,9529674
Shaun,Robinson,Y,Mr.,5,10249366
Steven,Rodgers,N,Mr.,5,14351175
Angela,Rogers,N,Dr.,5,10730776
Jeffrey,Rogers,Y,Sir,5,3970659
Ronny,Rojas,N,Dr.,5,16844331
Bryant,Saavedra,N,Dr.,5,232061
Joseph,Sanchez,Y,Mr.,5,17965617
Anna,Santiago,Y,Miss,5,20639381
Marguerite,Scott,N,Miss,5,3067736
James,Shapiro,N,Sir,5,3179861
Tonya,Shipman,N,Ms.,5,16749126
Florence,Sloan,N,Dr.,5,18527483
Kevin,Smith,N,Mr.,5,7597254
Sidney,Smith,N,Dr.,5,17953741
Lena,Spivey,Y,Mrs.,5,17014365
Amanda,Stauffer,Y,Mrs.,5,18928341
James,Stinson,Y,Sir,5,17227144
Charles,Terry,Y,Sir,5,8041970
Dominic,Todd,N,Dr.,5,17816569
Angel,Tyree,N,Ms.,5,22964505
Alan,Valdez,Y,Sir,5,9291047
Dustin,Vaughn,Y,Sir,5,8896447
Paul,Villanueva,Y,Sir,5,20318300
Barbara,Walden,N,Miss,5,16513165
Bernice,Wall,Y,Ms.,5,15036193
Charles,Walsh,Y,Mr.,5,13436658
Marilyn,Walsh,Y,Mrs.,5,16581805
Rudolph,Walters,Y,Dr.,5,6891136
Nathan,Warren,N,Dr.,5,11393337
Saundra,Welch,N,Dr.,5,13554663
Erika,Whatley,N,Miss,5,11178143
,Williams,,Dr.,5,17291963
Howard,Williams,Y,Mr.,5,23109716
Teresa,Williams,Y,Miss,5,3287304
Shelby,Wilson,Y,Mr.,5,19008989
Anna,Wilson,Y,Mrs.,5,17705486
Carole,Wolfe,N,Miss,5,22018461
Kyle,Woodson,Y,Dr.,5,7962926
Melanie,Wright,N,Mrs.,5,7729956
Charles,Yi,N,Dr.,5,5157548
Jeremy,,Y,,5,786245
Joanne,,,Ms.,5,16283356
,,,Ms.,5,23578965
,,Y,Dr.,5,14239152
Clarence,,,,5,23435713
,,Y,Mr.,5,9744315
Palma,,Y,Dr.,5,20480907
Lisa,Beasley,N,Dr.,4,1239874
Vivian,Boswell,N,Miss,4,12003741
Matthew,Decker,Y,Dr.,4,23289047
Keith,Freeman,N,Dr.,4,14009671
Michael,Holman,Y,Sir,4,8328638
Sergio,King,N,Mr.,4,22024295
Virginia,Martinez,Y,Mrs.,4,18794575
Greg,Parks,Y,Mr.,4,2717095
Thomas,Thomas,N,Dr.,4,22860808
,,N,Dr.,4,2695465
Elaine,Wright,Y,Ms.,3,19299513
