amt,bought_city,c_first_name,c_last_name,ca_city,profit,ss_ticket_number
476.83,Fairview,Adam,Aaron,Glendale,-12119.77,114959001
1989.91,Plainview,Alana,Aaron,Lincoln,-15972.2,10954093
1043.31,Whitney,Alexis,Aaron,Marion,-14547.43,208559617
4195.26,Union Hill,Andrew,Aaron,Woodland,-20289.21,177529715
372.31,Littleton,Ann,Aaron,Riverview,-4937.75,23982947
490.27,Providence,Anna,Aaron,Woodlawn,-6570.2,26144784
1010.28,Woodruff,Anne,Aaron,Jackson,-4996.42,11820520
3301.25,Lakewood,Antonio,Aaron,Harmony,-13317.6,191819437
376.51,Union,Armand,Aaron,Edgewood,-2855.82,38451183
1584.37,Harmony,Arnold,Aaron,Summit,-6176.4,153587970
1106.14,Fairview,Arthur,Aaron,Springfield,3491.6,38013270
2094.03,Lakeside,Ashley,Aaron,Lakeview,-14481.84,188408753
1063.49,Plainview,Barbara,Aaron,Fairview,213.15,9860725
6766.55,Phoenix,Beatrice,Aaron,Ashland,-9074.46,187682518
344.28,Lebanon,Bob,Aaron,Florence,88.83,231229257
2759.4,Red Hill,Bobby,Aaron,Bethel,-4763.9,65773477
2481.48,Springdale,Bryan,Aaron,New Hope,-10189.01,11262532
9841.26,Flatwoods,Caroline,Aaron,Oak Hill,-21779.29,167294454
1611.53,Hopewell,Carolyn,Aaron,Walnut Grove,-4337.57,68568142
491.1,Valley View,Charles,Aaron,Enterprise,-9593.53,107712353
0.0,Providence,Charles,Aaron,Newtown,2007.82,187513545
2358.91,Woodland,Christina,Aaron,Peru,-8419.88,122819902
1226.21,Wildwood,Christine,Aaron,Pine Grove,-15067.43,167891889
822.93,Bridgeport,Christopher,Aaron,Brownsville,-6875.75,24939823
392.2,Union,Christopher,Aaron,Oakland,-10131.82,86986812
975.74,Springdale,Clifton,Aaron,Waterloo,-2806.98,111993531
135.07,Bunker Hill,Clyde,Aaron,Sunnyside,-10613.74,210848423
404.81,Lincoln,Colleen,Aaron,New Hope,-3673.62,69496914
44.66,Marion,Danica,Aaron,Bunker Hill,1310.03,176266524
544.78,Five Forks,David,Aaron,Liberty,-2370.15,137575261
1070.22,Midway,David,Aaron,Macedonia,-8100.37,227099065
4942.2,Edgewood,David,Aaron,Spring Valley,-20181.79,196612236
1070.32,Oakdale,Dennis,Aaron,Riverside,-12426.48,234138536
1175.56,Greenville,Dolores,Aaron,Louisville,-15927.33,39844708
698.23,Jackson,Donald,Aaron,Enterprise,-3048.2,71743942
1430.12,Glendale,Donald,Aaron,Highland Park,-13944.29,229527693
776.96,Clifton,Dorothy,Aaron,Lakeside,-2694.65,42196059
4119.76,Fairview,Edward,Aaron,Oak Ridge,-13425.45,152669238
3139.57,Concord,Elizabeth,Aaron,Union,-3764.95,91020353
2470.64,Woodville,Eloise,Aaron,Forest Hills,-6745.08,128707949
