c_acctbal,c_address,c_comment,c_custkey,c_name,c_phone,n_name,revenue
874.35,lFBNuGHP6WS2YTX9OUBghvzkoFk ," carefully alongside of the final foxes? carefully regular requests above the bold, final inst",8728522,Customer#008728522,29-800-823-6539,ROMANIA,823313.0436
2735.79,"JDykcIqKjBJFc9azC tQq,aWDx","ven, regular packages wake pinto beans. carefully special dolphins print furiously blith",2836234,Customer#002836234,13-190-946-5925,CANADA,822466.7273
9741.69,In58FgVgVLwtJJkr,"en hockey players. requests cajole quickly express deposits. express, ironic requests haggle blithely. regul",13645609,Customer#013645609,25-508-461-1868,MOROCCO,821270.539
4429.11,XdXSETmIBxuafhXl14AiDk, blithely express deposits along the blithely final f,2371261,Customer#002371261,19-531-284-8699,INDONESIA,804213.5196
7502.7,NdsqI2s CVc,ven deposits detect quickly against the quickly regular waters. blithely ironic dugouts sleep always against the,2820532,Customer#002820532,18-992-171-1003,INDIA,795078.1924
5512.73,HZRNiMP44FS2XekKvhVutDx8pX75TdKR,ly above the even packages? slyly regular packages haggle slyly regular accounts. slyly pending packages nag along t,13027789,Customer#013027789,30-388-944-3331,SAUDI ARABIA,794188.5514
8740.33,R6riMKLxctXW1R4dgxR8Nk mAPvct9vtNXhrprCN,times ironic accounts. carefully unusual deposits along the slyly,10050748,Customer#010050748,27-653-112-9932,PERU,791246.9638
7678.64,0vjju LJxvlWhZi8DKlxGafelta,st carefully slyly unusual deposits. car,12667315,Customer#012667315,12-653-299-3515,BRAZIL,788785.4013
4606.53,",qaeBduMih78MYoUi5L4TUvZJdZmHuB3",nic accounts haggle furiously; fluffily regular requests among the blithely ironic accounts cajole b,1495711,Customer#001495711,11-851-476-5283,ARGENTINA,788329.8841
5466.28,fr6YJbtpyKXhWaNU3,lyly blithe deposits. instructions are furi,6535846,Customer#006535846,16-777-918-6437,FRANCE,786958.0234
7020.83,8Noo6GshkJ,uriously careful excuses. furiously even instructions are blithely ab,2433142,Customer#002433142,10-483-890-7322,ALGERIA,783345.1358
3611.46,"OkWWx7sfo0sHqZthCakN,1bKdiwPUuMf6by", pinto beans integrate. deposits nag alongside of the final instructions. quickly final accounts was furiously,9256810,Customer#009256810,12-142-536-4795,BRAZIL,781737.0553
5139.23,zS7vnVM8bJNh,ions. quickly ironic instructions are furiously ab,14402689,Customer#014402689,23-327-705-5533,JORDAN,779367.167
906.16,"AturwvrBsf,2TKvWDk",g the slyly regular accounts. quickl,14916811,Customer#014916811,11-444-280-5869,ARGENTINA,767156.3779
3530.48,Rpb3saFJC6oNZdG0iu,ourts use furiously across the furiously final forg,6851086,Customer#006851086,26-235-980-1434,MOZAMBIQUE,763879.4496
2286.72,d2NVKX2wEQ22xuAwxpPLnWGqgq, slyly slow platelets wake slyly about the unusual grouches.,7543351,Customer#007543351,17-997-642-3079,GERMANY,763003.7074
4864.63,u8Yb4h0SyvN,"ng to the ironic, brave ideas. theodolites mold furiously. carefully ironic pack",10381102,Customer#010381102,17-799-615-9076,GERMANY,751751.9763
-243.46,LS5QUBhOoA rg1kJ,ts. quiet excuses above the furiously ironic packages nag slyly express escapade,6914197,Customer#006914197,10-152-395-9104,ALGERIA,750801.7793
8582.47,"MxGkmnQJNgbaYDVq0TkpwsM,T99OhO6Yyd7R","blithely pending packages are quickly. busy, even escapades about the sometimes special deposits wake furio",11420197,Customer#011420197,23-529-172-4931,JORDAN,748690.7407
4953.87,eCK7O7OzDR4w2hluvJCI, foxes above the fluffily ironic requests are furiously final requests. furiously ,8316061,Customer#008316061,21-876-803-6530,IRAQ,747769.3655
